
 
C1    N2    Elastic                                             
E/N (Td)	Rate coefficient (m3/s)
102.5	0.1063E-14
104.2	0.1069E-14
105.9	0.1073E-14
107.6	0.1078E-14
109.2	0.1081E-14
111.0	0.1084E-14
112.7	0.1087E-14
114.4	0.1089E-14
116.2	0.1091E-14
117.9	0.1092E-14
119.7	0.1095E-14
121.5	0.1095E-14
123.3	0.1095E-14
125.1	0.1095E-14
127.0	0.1094E-14
128.8	0.1093E-14
130.7	0.1092E-14
132.5	0.1090E-14
134.4	0.1088E-14
136.3	0.1086E-14
138.2	0.1084E-14
140.2	0.1081E-14
142.1	0.1078E-14
144.1	0.1075E-14
146.0	0.1065E-14
148.0	0.1062E-14
150.0	0.1058E-14
 
 
C8    N2    Excitation    1.47 eV                               
E/N (Td)	Rate coefficient (m3/s)
1.000	0.000
1.007	0.000
1.027	0.000
1.060	0.000
1.107	0.000
1.168	0.000
1.242	0.000
1.329	0.000
1.430	0.000
1.544	0.000
1.671	0.000
1.812	0.000
1.966	0.000
2.134	0.6660E-30
2.315	0.7830E-29
2.510	0.7721E-28
2.718	0.6395E-27
2.940	0.4476E-26
3.174	0.2669E-25
3.423	0.1370E-24
3.685	0.6124E-24
3.960	0.2409E-23
4.248	0.8435E-23
4.550	0.2657E-22
4.866	0.7601E-22
5.195	0.1994E-21
5.537	0.5044E-21
5.893	0.1132E-20
6.262	0.2387E-20
6.644	0.4755E-20
7.040	0.8998E-20
7.450	0.1626E-19
7.872	0.2816E-19
8.309	0.4694E-19
8.758	0.7558E-19
9.221	0.1179E-18
9.698	0.1802E-18
10.19	0.2658E-18
10.69	0.3827E-18
11.21	0.5392E-18
11.74	0.7447E-18
12.28	0.1016E-17
12.84	0.1366E-17
13.41	0.1815E-17
13.99	0.2383E-17
14.59	0.3089E-17
15.20	0.3869E-17
15.83	0.4796E-17
16.46	0.5947E-17
17.11	0.7222E-17
17.78	0.8695E-17
18.46	0.1039E-16
19.15	0.1232E-16
19.85	0.1447E-16
20.57	0.1692E-16
21.30	0.1966E-16
22.05	0.2272E-16
22.81	0.2610E-16
23.58	0.2983E-16
24.36	0.3406E-16
25.16	0.3854E-16
25.97	0.4340E-16
26.80	0.4868E-16
27.64	0.5438E-16
28.49	0.6051E-16
29.36	0.6709E-16
30.23	0.7413E-16
31.13	0.8203E-16
32.03	0.9001E-16
32.95	0.9847E-16
33.89	0.1074E-15
34.83	0.1168E-15
35.79	0.1267E-15
36.77	0.1371E-15
37.75	0.1480E-15
38.75	0.1594E-15
39.77	0.1691E-15
40.79	0.1813E-15
